date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 14:42:18	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:20	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:22	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:24	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:26	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:28	0 Hz	0 W	4,7E2 mbar	1,4E2 mbar
2020-03-10, 14:42:30	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:32	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:34	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:36	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:38	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:40	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:42	0 Hz	0 W	4,7E2 mbar	1,4E2 mbar
2020-03-10, 14:42:44	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:46	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:48	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:50	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:52	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:54	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:56	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:42:58	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:00	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:02	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:04	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:06	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:08	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:10	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:12	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:14	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:16	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:18	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:20	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:22	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:24	0 Hz	0 W	4,7E2 mbar	1,5E2 mbar
2020-03-10, 14:43:26	0 Hz	0 W	4,1E2 mbar	1,6E2 mbar
2020-03-10, 14:43:28	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2020-03-10, 14:43:30	0 Hz	0 W	1E3 mbar	6,5E2 mbar
2020-03-10, 14:43:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 14:43:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 14:43:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 14:43:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 14:43:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 14:43:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 14:43:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 14:43:46	0 Hz	0 W	1E3 mbar	1E3 mbar
