date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 15:03:00	20 Hz	28 W	3,5E0 mbar	3,3E0 mbar
2020-03-10, 15:03:02	50 Hz	31 W	3,4E0 mbar	3,2E0 mbar
2020-03-10, 15:03:04	77 Hz	33 W	3,3E0 mbar	3,1E0 mbar
2020-03-10, 15:03:06	110 Hz	35 W	3,2E0 mbar	3E0 mbar
2020-03-10, 15:03:08	132 Hz	38 W	3E0 mbar	2,7E0 mbar
2020-03-10, 15:03:10	167 Hz	41 W	2,6E0 mbar	2,4E0 mbar
2020-03-10, 15:03:12	188 Hz	33 W	2,3E0 mbar	2,1E0 mbar
2020-03-10, 15:03:14	219 Hz	45 W	1,9E0 mbar	1,8E0 mbar
2020-03-10, 15:03:16	251 Hz	48 W	1,7E0 mbar	1,6E0 mbar
2020-03-10, 15:03:18	286 Hz	50 W	1,4E0 mbar	1,3E0 mbar
2020-03-10, 15:03:20	309 Hz	52 W	9,9E-1 mbar	9,3E-1 mbar
2020-03-10, 15:03:22	343 Hz	55 W	6,5E-1 mbar	5,8E-1 mbar
2020-03-10, 15:03:24	373 Hz	57 W	3E-1 mbar	3,3E-1 mbar
2020-03-10, 15:03:26	395 Hz	59 W	8E-2 mbar	7,3E-2 mbar
2020-03-10, 15:03:28	427 Hz	62 W	1,8E-2 mbar	1E-2 mbar
2020-03-10, 15:03:30	464 Hz	65 W	6E-3 mbar	4,8E-3 mbar
2020-03-10, 15:03:32	493 Hz	67 W	3,4E-3 mbar	2,7E-3 mbar
2020-03-10, 15:03:34	526 Hz	70 W	2,4E-3 mbar	2E-3 mbar
2020-03-10, 15:03:36	560 Hz	72 W	2E-3 mbar	1,7E-3 mbar
2020-03-10, 15:03:38	585 Hz	75 W	1,7E-3 mbar	1,4E-3 mbar
2020-03-10, 15:03:40	622 Hz	78 W	1,5E-3 mbar	1,3E-3 mbar
2020-03-10, 15:03:42	651 Hz	80 W	1,2E-3 mbar	1,1E-3 mbar
2020-03-10, 15:03:44	683 Hz	84 W	1,1E-3 mbar	1,1E-3 mbar
2020-03-10, 15:03:46	712 Hz	85 W	1E-3 mbar	1E-3 mbar
2020-03-10, 15:03:48	744 Hz	88 W	1E-3 mbar	9E-4 mbar
2020-03-10, 15:03:50	776 Hz	88 W	1E-3 mbar	9E-4 mbar
2020-03-10, 15:03:52	803 Hz	88 W	1E-3 mbar	8,5E-4 mbar
2020-03-10, 15:03:54	837 Hz	88 W	1E-3 mbar	7,5E-4 mbar
2020-03-10, 15:03:56	866 Hz	88 W	1E-3 mbar	7,5E-4 mbar
2020-03-10, 15:03:58	888 Hz	88 W	9,6E-4 mbar	7E-4 mbar
2020-03-10, 15:04:00	916 Hz	88 W	9E-4 mbar	7E-4 mbar
2020-03-10, 15:04:02	947 Hz	88 W	8,5E-4 mbar	7E-4 mbar
2020-03-10, 15:04:04	971 Hz	87 W	7,9E-4 mbar	6E-4 mbar
2020-03-10, 15:04:06	998 Hz	88 W	7,5E-4 mbar	6E-4 mbar
2020-03-10, 15:04:08	1017 Hz	88 W	7,2E-4 mbar	6E-4 mbar
2020-03-10, 15:04:10	1046 Hz	88 W	6,9E-4 mbar	5,5E-4 mbar
2020-03-10, 15:04:12	1070 Hz	88 W	6,6E-4 mbar	5E-4 mbar
2020-03-10, 15:04:14	1092 Hz	88 W	6,4E-4 mbar	5E-4 mbar
2020-03-10, 15:04:16	1115 Hz	87 W	6,2E-4 mbar	5E-4 mbar
2020-03-10, 15:04:18	1133 Hz	88 W	6,1E-4 mbar	5E-4 mbar
2020-03-10, 15:04:20	1159 Hz	88 W	5,9E-4 mbar	5E-4 mbar
2020-03-10, 15:04:22	1181 Hz	88 W	5,7E-4 mbar	5E-4 mbar
2020-03-10, 15:04:24	1201 Hz	88 W	6E-4 mbar	5E-4 mbar
2020-03-10, 15:04:26	1223 Hz	87 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:04:28	1239 Hz	88 W	5,7E-4 mbar	4,5E-4 mbar
2020-03-10, 15:04:30	1263 Hz	88 W	5,6E-4 mbar	4,5E-4 mbar
2020-03-10, 15:04:32	1286 Hz	87 W	5,5E-4 mbar	4,5E-4 mbar
